번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0617,DAY 21,제고,제고03,提高,"끌 제, 높을 고",2004수능,명사,"쳐들어 높임.
¶ 생산성의 제고 / 능률의 제고 / 이미지 제고 / 월동 준비는 전력의 유지와 그
제고를 위해서 긴급히 요청되고 있는 과제요. ≪이병주, 지리산≫"
0618,DAY 21,추종,추종01,追從,"쫓을 추, 좇을 종",2004수능,명사,"(1) 남의 뒤를 따라서 좇음. ≒ 축종
02(逐從).
¶ 그는 컴퓨터 분야에서는 타의 추종을 불허한다.
(2) 권력이나 권세를 가진 사람이나 자신이 동의하는 학설 따위를 별 판단 없이 믿고 따름.
¶ 추종 세력 / 주어진 법률에 유유낙낙 추종만 하고 있는 형편에선 변호사가 할
일이란 거의 없는 거나 마찬가지죠. ≪이병주, 행복어 사전≫"
0619,DAY 21,완곡하다,완곡하다01,婉曲,"하다, 순할, 완, 굽을, 곡",2004수능,형용사,"말하는 투가, 듣는 사람의 감정이 상하지 않도록 모나지 않고 부드럽다.
¶ 완곡한 표현 / 완곡하게 거절하다. / 가끔 만나는 사람들끼리 모이면 자주 그렇
듯이 은근히 돈과 출세와 아들 자랑을 완곡하게 늘어놓으며….
≪안정효, 하얀 전쟁≫"
0620,DAY 21,선동,선동04,煽動,"부채질할, 선, 움직일 동",2004수능,명사,"남을 부추겨 어떤 일이나 행동에 나서도록 함. ≒ 유동
05(誘動).
¶ 과격한 선동 / 정치적 선동."
0621,DAY 21,배후,배후02,背後,"등 배, 뒤 후",2004수능,명사,"(1) 등의 뒤.
¶ 배후에서 갑자기 나타나 어깨를 치는 바람에 깜짝 놀랐다.
(2) 어떤 대상이나 대오의 뒤쪽.
¶ 배후를 공격하다. / 배후를 지키다. / 그들이 공황 속에 빠진 이유는 늘 앞쪽에
서 날아오던 포탄이 갑자기 그들의 배후에서 날아왔기 때문이었다.
≪홍성원, 육이오≫
(3) 어떤 일의 드러나지 않은 이면.
¶ 배후 세력 / 배후 인물 / 배후를 가리다. / 배후로 지목되다. / 사건의 배후를
밝히다. / 배후에서 조종하다. / 이 사건의 배후에는 커다란 음모가 숨어 있다."
0622,DAY 21,집결,집결,集結,"모을 집, 맺을 결",2004수능,명사,"한군데로 모이거나 모여 뭉침. 또는 한군데로 모으거나 모아 뭉치게 함.
¶ 집결 장소 / 집결 지점 / 근동의 헌병들이 영산포에 집결을 하였다 하나 그 수
가 고작 쉰 명 남짓이라니 그리 두려울 것도 없지 않소. ≪문순태, 타오르는 강
≫"
0623,DAY 21,융성,융성,隆盛,"높을 륭, 성할 성",2003수능,명사,"기운차게 일어나거나 대단히 번성함. ≒ 융창·흥성
02(興盛).
¶ 역사학의 융성 / 국가의 융성과 멸망."
0624,DAY 21,부연,부연04,敷衍敷演,"펼 부, 넓을 연, 펼 부, 펼 연",2003수능,명사,"(1) 이해하기 쉽도록 설명을 덧붙여 자세히 말함.
¶ 부연 설명.
(2) 늘려서 널리 폄."
0625,DAY 21,감화,감화01,感化,"느낄 감, 될 화",2003수능,명사,"좋은 영향을 받아 생각이나 감정이 바람직하게 변화함. 또는 그렇게 변하게 함. ≒ 염화
(染化)(1) ·화감(化感).
¶ 감화를 주다. / 나는 어린 시절 위인들에게 많은 감화를 받았다. / 이가환이 비
록 영세를 받지 않았으나, 일찍부터 이덕조의 감화를 입어 교리를 연구했고….
≪서기원, 조선백자 마리아상≫"
0626,DAY 21,포용,포용,包容,"쌀 포, 얼굴 용",2003수능,명사,"남을 너그럽게 감싸 주거나 받아들임. ‘감쌈’, ‘덮어 줌’으로 순화.
¶ 포용의 폭이 넓다. / 그는 이들에게 조심스럽게 접근하여 이해와 포용을 보임으
로써 마을의 평화와 안정을 위협하는 요소를 희박하게 해 나갈 생각이었다.
≪이원규, 훈장과 굴레≫"
0627,DAY 21,반감,반감01,反感,"돌아올 반, 느낄 감",2003수능,명사,"반대하거나 반항하는 감정.
¶ 관료주의에 대한 반감 / 반감을 가지다. / 상대를 너무 비방하면 반감을 산다. /
그들이 반감을 품지 않도록 말을 조심해라."
0628,DAY 21,내막,내막01,內幕,"안 내, 장막 막",2003수능,명사,"겉으로 드러나지 아니한 일의 속 내용. ‘속사정’으로 순화.
¶ 사건의 내막 / 자세한 내막을 캐내다. / 고리대금업으로 축재를 하는 중도가 그
런 장기 사업에 투자한다는 것이 처음부터 의아한 점이었고, 또 그런 내막을
아는 사람은 다 알고 있었다. ≪조정래, 태백산맥≫"
0629,DAY 21,장황하다,장황하다01,張皇,"하다, 베풀, 장, 임금, 황",2003수능,형용사,"매우 길고 번거롭다.
¶ 설명이 장황하다. / 그 사람의 연설은 너무 장황하여 앞뒤를 종잡을 수가 없었
다. / 네 말이 너무 장황하니 사람들이 모두 지겨워하는 것이다. / 그는 이미
다 아는 이야기를 장황하게 늘어놓았다. / 편지로 쓰기에는 매우 장황하여, 만
나서 이야기를 하려고 하니…. ≪채만식, 소년은 자란다≫"
0630,DAY 21,월권,월권,越權,"넘을 월, 권세 권",2003수능,명사,"자기 권한 밖의 일에 관여함.
¶ 왜 귀국의 인사 정책에까지 일본 공사가 참견을 해야 했는지 모를 일입니다. 그
것은 지나친 월권인 동시에 귀국으로서도 참을 수 없는 모욕입니다.
≪유주현, 대한 제국≫"
0631,DAY 22,경륜,경륜02,經綸,"지날 경, 벼리 륜",2003수능,명사,"(1) 일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부. ≒ 영륜(1).
¶ 높은 경륜의 소유자 / 경륜이 있는 사람 / 경륜을 쌓다. / 경륜을 품다. / 그의
말은 모두 오랜 인생 경륜에서 우러나오는 것이다.
(2) 천하를 다스림. ≒ 영륜(2).
¶ 천하 경륜을 논할 때는 그의 눈도 삼국정립을 예언하던 공명(孔明)의 혜안처럼
빛났다고 한다. ≪이문열, 황제를 위하여≫"
0632,DAY 22,왜곡,왜곡01,歪曲,"기울 왜, 굽을 곡",2003수능,명사,"사실과 다르게 해석하거나 그릇되게 함.
¶ 역사 왜곡 / 왜곡 보도 / 왜곡을 바로잡다. / 화해와 단결? 그것을 위해서라면
나 선생은 그럼 사실의 왜곡도 무방하다는 겁니까? ≪이청준, 춤추는 사제≫ /
세상의 어떤 신화, 어떤 전설도 과장과 왜곡은 있기 마련이다.
≪이문열, 황제를 위하여≫"
0633,DAY 22,은폐,은폐02,隱蔽,"숨을 은, 덮을 폐",2003수능,명사,"(1) 덮어 감추거나 가리어 숨김.
(2) {군사} 적에게 관측되지 아니하도록 주변의 지형지물을 이용하여 인원이나 장비, 시설
따위를 숨기는 일."
0634,DAY 22,교섭,교섭,交涉,"사귈 교, 건널 섭",2003수능,명사,"어떤 일을 이루기 위하여 서로 의논하고 절충함.
¶ 교섭이 결렬되다 / 파업 직전에 노사 교섭이 타결되었다. / 소작인들은 금년 봄
부터 소작료를 4할로 내리라고 중간에 사람을 넣어 여러 차례 교섭을 벌였으
나, 지주는 그때마다 콧등만 퉁기고 있었다. ≪송기숙, 암태도≫"
0635,DAY 22,촉발,촉발02,觸發,"닿을 촉, 필 발",2003수능,명사,"(1) 어떤 일을 당하여 감정, 충동 따위가 일어남. 또는 그렇게 되게 함.
¶ 위기 촉발 / 우리가 일상 수없이 접하고 있는 사물들은 이미 상식처럼 익혀져
서, 있어도 없는 것과 같이 어떠한 생각의 촉발도 일으킬 수 없는 대신….
≪유치환, 나는 고독하지 않다≫
(2) 닿거나 부딪쳐 폭발함. 또는 그렇게 폭발시킴.
¶ 촉발 장치."
0636,DAY 22,거론,거론,擧論,"들 거, 논할 론",2003수능,명사,"어떤 사항을 논제로 삼아 제기하거나 논의함.
¶ 이것은 더 이상 거론의 여지가 없는 문제이다."
0637,DAY 22,기피,기피01,忌避,"꺼릴 기, 피할 피",2003수능,명사,"(1) 꺼리거나 싫어하여 피함. ≒ 위피01(違避).
¶ 책임 기피 / 젊은 여성들의 농촌 생활 기피로 많은 농촌 청년들이 적령기에 결
혼을 하지 못하는 사태가 벌어지고 있다.
(2) {법률} 법관, 법원 직원 따위가 한쪽 소송 관계인과 특수한 관계에 있거나 어떠한 사정
으로 불공평한 재판을 할 염려가 있다고 여겨질 때 다른 쪽 소송 당사자가 그
법관이나 직원의 직무 집행을 거부하는 일. ≒ 법관기피."
0638,DAY 22,부조리,부조리,不條理,"아닐 부, 가지 조, 다스릴 이",2003수능,명사,"(1) 이치에 맞지 아니하거나 도리에 어긋남. 또는 그런 일.
¶ 조직의 부조리 / 사회의 모든 부조리를 추방하다
(2) ‘부정행위01’를 완곡하게 이르는 말.
(3) {철학} 인생에서 그 의의를 발견할 가망이 없음을 이르는 말. 인간과 세계, 인생의 의의
와 현대 생활과의 불합리한 관계를 나타내는 실존주의적 용어로, 특히 프랑스의
작가 카뮈의 부조리 철학으로 널리 알려졌다."
0639,DAY 22,모색,모색03,摸索,"본뜰 모, 찾을 색",2003수능,명사,"일이나 사건 따위를 해결할 수 있는 방법이나 실마리를 더듬어 찾음.
¶ 해결 방안의 모색 / 진정한 공동체를 향한 새롭고 진지한 모색을 바로 지금부터
시작해야 합니다. / 서로 속을 엿보려는 듯한 시기와 의혹과 모색의 빛이 덕기
에게까지 전염되어 오는 것을…. ≪염상섭, 삼대≫"
0640,DAY 22,인습적,인습적,因襲的,"인할 인, 엄습할 습, 어조사 적",2003수능,"관형사, , 명사","예전의 풍습, 습관, 예절 따위를 그대로 따르는. 또는 그런 것.
¶ 인습적 남녀 관계 / 인습적인 절차."
0641,DAY 22,순응,순응01,順應,"순할 순, 응할 응",2003수능,명사,"(1) 환경이나 변화에 적응하여 익숙하여지거나 체계, 명령 따위에 적응하여 따름.
¶ 곽 씨와 마주치면 그의 너무나도 당연한 고자세에 번번이 순응을 하고는 하였다.
≪이호철, 소시민≫
(2) {생물} 생물체의 기능, 성질, 상태가 주어진 외부 조건의 지속적인 변화에 적응할 수 있
도록 감각 작용이 변화하는 일. 눈의 명암 순응 따위가 있다.
(3) {심리} 환경의 변화에 따라 유기체의 형태, 구조, 기능이 환경 조건에 가장 알맞은 상태
로 변하는 현상."
0642,DAY 22,편협,편협,偏狹褊狹,"치우칠 편, 좁을 협, 좁을 편, 좁을 협",2003수능,명사,"(1) 한쪽으로 치우쳐 도량이 좁고 너그럽지 못함.
¶ 편협에 빠지다. / 사고의 편협에서 벗어나다.
(2) 땅 따위가 좁음."
0643,DAY 22,관습,관습,慣習,"익숙할 관, 익힐 습",2003수능,명사,"어떤 사회에서 오랫동안 지켜 내려와 그 사회 성원들이 널리 인정하는 질서나 풍습.
¶ 오랜 관습 / 관습과 전통 / 관습을 따르다. / 다른 사람을 기다리게 한다는 것
은 우리의 고래의 관습으로 보아 크게 예를 잃는 것이라 할 수 있다.
≪이양하, 이양하 수필선≫"
0644,DAY 22,희롱,희롱,戲弄,"놀이 희, 희롱할 롱",2003수능,명사,"(1) 말이나 행동으로 실없이 놀림.
¶ 동네 불량배들이 길을 가는 여자에게 희롱을 걸고 있다.
(2) 손아귀에 넣고 제멋대로 가지고 놂.
¶ 기생의 희롱에 놀아나는 선비 / 사기꾼에게 희롱을 당하다.
(3) 서로 즐기며 놀리거나 놂.
(4) 악기 따위를 능숙하게 다루는 것을 예스럽게 이르는 말."
0645,DAY 22,반향,반향01,反響,"돌아올 반, 울릴 향",2003수능,명사,"(1) 어떤 사건이나 발표 따위가 세상에 영향을 미치어 일어나는 반응.
¶ 반향을 불러일으키다.
(2) {물리} 소리가 어떤 장애물에 부딪쳐서 반사하여 다시 들리는 현상."
0646,DAY 22,재현,재현02,再現,"두 재, 나타날 현",2003수능,명사,"(1) 다시 나타남. 또는 다시 나타냄.
¶ 즉 20세기에 들어와서 미술은 재현, 즉 모방을 버리고 표현을 주장하기에 이르
렀다는 것이오. ≪장용학, 위사가 보이는 풍경≫
(2) {심리} 이미 경험하거나 학습한 정보를 다시 기억해 내는 일."
0647,DAY 22,매개,매개03,媒介,"중매 매, 낄 개",2003수능,명사,"(1) 둘 사이에서 양편의 관계를 맺어 줌.
¶ 문학은 우리 두 사람 사이를 이어 주는 매개의 역할을 하고 있다. / 말라리아는
모기를 매개로 하여 전염된다. / 나는 친구를 매개로 그녀와 외견상으로는 급
속하게 가까워지고 있었으나…. ≪윤후명, 별보다 멀리≫
(2) {논리} 서로 떨어져 있는 두 명사 사이에서 두 명사의 관계를 맺어 주는 중간 항의 명
사를 부여하는 작용.
(3) {철학} 헤겔의 변증법에서, 어떤 사물이 존재할 조건이 되는 일. 모든 사물이 따로 독립
하여 존재하는 것이 아니고 타자(他者)와의 관계 속에서 존재한다고 보았다."
0648,DAY 22,척도,척도,尺度,"자 척, 법도 도",2003수능,명사,"(1) 자로 재는 길이의 표준.
(2) 평가하거나 측정할 때 의거할 기준. ≒ 도척
03(度尺).
¶ 미의 척도 / 돈을 가치의 척도로 삼다."
0649,DAY 22,결합,결합,結合,"맺을 결, 합할 합",2003수능,명사,"둘 이상의 사물이나 사람이 서로 관계를 맺어 하나가 됨.
¶ 물은 산소와 수소의 결합으로 이루어진다. / 견고한 매듭이 있어야 한다. 그것이
없는 부부란 그저 나란히 있는 것이지 결합은 아니다. ≪박경수, 동토≫"
0650,DAY 22,현존,현존,現存,"나타날 현, 있을 존",2003수능,명사,"(1) 현재 살아 있음.
¶ 현존 인물 / 사변 후론 한 푼 나오는 것이 없으니까 내게 무슨 현존이 있겠는
가. ≪염상섭, 동기≫
(2) 현재에 있음.
¶ 현존 작품 / 대외 원조 계획은…현존의 정부를 강하게 유지하기 위한 모험 등의
계획도 포함하고 있다. ≪황석영, 무기의 그늘≫"
0651,DAY 22,변천,변천03,變遷,"변할 변, 옮길 천",2003수능,명사,"세월의 흐름에 따라 바뀌고 변함. ≒ 변이
03(變移)·전천
04(轉遷)·화천
02(化遷).
¶ 시대의 변천 / 문화의 변천 / 대외 관계의 변천 / 자동차 박람회의 특별 행사에
서 자동차의 변천 과정을 보여 주었다. / 이번 전시회에서는 의복의 변천을 한
눈에 볼 수 있다."
0652,DAY 22,통념,통념01,通念,"통할 통, 생각 념",2003수능,명사,"일반적으로 널리 통하는 개념.
¶ 사회적 통념을 깨다. / 가족에 대해 남다른 애정을 가진 것도 백정으로 낙인찍
힌 신분을 바라보는 사회적 통념에 대한 분노 때문이었다. ≪박경리, 토지≫ /
싸움에 임하여 수성(守城) 장수는 항상 제일 무능하고 약한 자만이 맡게 되는
임무로 아는 통념이 있다. ≪유현종, 들불≫"
0653,DAY 22,즉흥적,즉흥적,卽興的,"곧 즉, 일 흥어조사, 적",2003수능,"관형사, , 명사","그 자리에서 일어나는 감흥이나 기분에 따라 하는. 또는 그런 것.
¶ 즉흥적 연설 / 즉흥적인 발상 / 사진 찍기를 끝마치고 학사모와 가운을 벗어서
챙기려다 말고 즉흥적으로 떠오른 어떤 생각으로 나는 그것을 이모에게 입히려
들었다. ≪박완서, 도시의 흉년≫"
0654,DAY 22,참조,참조02,參照,"참여할 참, 비칠 조",2003수능,명사,"참고로 비교하고 대조하여 봄.
¶ 관계 기사 참조 / 사진 참조."
0655,DAY 22,결함,결함01,缺陷,"이지러질, 결, 빠질 함",2003수능,명사,"부족하거나 완전하지 못하여 흠이 되는 부분.
¶ 성격상의 결함 / 아버지의 신장은 백십칠 센티미터, 체중은 삼십이 킬로그램이었
다. 사람들은 이 신체적 결함이 주는 선입관에 사로잡혀 아버지가 늙는 것을
몰랐다. ≪조세희, 난쟁이가 쏘아 올린 작은 공≫"
0656,DAY 22,변혁,변혁,變革,"변할 변, 가죽 혁",2003수능,명사,"급격하게 바꾸어 아주 달라지게 함. ≒ 혁
02.
¶ 변혁의 시대 / 변혁이 일어나다. / 일대 변혁을 일으키다. / 개혁파들은 변혁을
꿈꾸었다. / 산업 혁명은 우리 인간 생활 전반에 걸쳐서 커다란 변혁을 가져왔
다. / 사람들의 의식을 바꾸지 않는 한 사회의 변혁은 불가능하다."
0657,DAY 22,진위,진위01,眞僞,"참 진, 거짓 위",2003수능,명사,"참과 거짓 또는 진짜와 가짜를 통틀어 이르는 말. ≒ 안진04(贋眞)·진안02(眞贋).
¶ 진위를 가려내다. / 진위를 밝히다. / 진위를 판단하다. / 증언의 진위 여부를
알아내다. / 새로 발굴되었다는 유물의 진위에 대하여 학계에서 논란이 일고
있다."
0658,DAY 22,진흥,진흥,振興,"떨칠 진, 일 흥",2003수능,명사,"떨치어 일어남. 또는 떨치어 일으킴. ≒ 흥진(興振).
¶ 문예 진흥 / 진흥 사업 / 산업 진흥에 힘쓰다. / 미력하나마 앞으로는 관청에서
지휘하시는 대로, 우리 농촌의 진흥을 위해서 진력하겠으니, 여러분도 한맘 한
뜻으로 나아가 주기를 바라는 바이오. ≪심훈, 상록수≫"
0659,DAY 22,걸출하다,걸출하다,傑出,"하다, 뛰어날, 걸, 날, 출",2003수능,형용사,"남보다 훨씬 뛰어나다.
¶ 선생은 이 시대의 걸출한 학자이자 사상가이셨다. / 타자보다는 투수 중에 걸출
한 선수들이 많다."
0660,DAY 22,고루하다,고루하다01,固陋,"하다, 굳을, 고, 더러울, 루",2003수능,형용사,"낡은 관념이나 습관에 젖어 고집이 세고 새로운 것을 잘 받아들이지 아니하다.
¶ 고루한 인습 / 고루한 사고방식 / 고루한 선비."
0661,DAY 23,배제,배제03,排除,"밀칠 배, 덜 제",2003수능,명사,"받아들이지 아니하고 물리쳐 제외함.
¶ 폭력의 배제."
0662,DAY 23,중도적,중도적,中道的,"가운데, 중, 길 도어조사, 적",2003수능,"관형사, , 명사","어느 한쪽으로 치우치지 아니하고 가운데에 있는. 또는 그런 것.
¶ 중도적 인물 / 중도적 입장을 취하다. / 중도적인 세력 / 이번 선거에서는 중도
적이거나 온건적인 성향의 인물들이 패배하였다."
0663,DAY 23,자생적,자생적,自生的,"스스로, 자, 날 생, 어조사, 적",2003수능,"관형사, , 명사","저절로 나거나 생기는. 또는 그런 것.
¶ 자생적 조직 / 학생회 활동이 자율화되면서 여러 가지 모임이 자생적으로 생겨
났다."
0664,DAY 23,반론,반론,反論,"돌이킬 반, 논할 론",2003수능,명사,"(1) 남의 논설이나 비난, 논평 따위에 대하여 반박함. 또는 그런 논설.
¶ 반론을 제기하다. / 반론을 펴다. / 그의 주장은 곧 격렬한 반론에 부딪쳤다. /
환경 보호를 위해 공장을 축소하자는 주장에 대해 많은 사람들이 반론을 제기
했다.
(2) 앞서 따르던 색론(色論)을 배반하고 다른 색론을 따름."
0665,DAY 23,장려,장려03,奬勵,"장려할 장, 힘쓸 려",2003수능,명사,"좋은 일에 힘쓰도록 북돋아 줌.
¶ 저축 장려 / 나라의 개간 사업 장려는 양반들이 사유지를 확대하는 데 부채질을
해 주는 결과만 가져다주었다. ≪문순태, 타오르는 강≫"
0666,DAY 23,고찰,고찰02,考察,"생각할 고, 살필 찰",2003수능,명사,"어떤 것을 깊이 생각하고 연구함.
¶ 한국 문학에 대한 새로운 고찰 / 문화에 대한 고찰 없이 인간의 삶을 이해하는
것은 불가능하다."
0667,DAY 23,중재,중재02,仲裁,"버금 중, 마를 재",2003수능,명사,"(1) 분쟁에 끼어들어 쌍방을 화해시킴.
¶ 중재를 맡다. / 중재를 요청하다. / 중재를 받다. / 중재를 붙이다. / 중재를 들
다.
(2) {법률} 제삼자가 분쟁 당사자 사이에 들어 분쟁을 조정하고 해결하는 일. 제삼자의 결정
은 구속력을 가진다"
0668,DAY 23,수렴,수렴03,收斂,"거둘 수, 거둘 렴",2003수능,명사,"(1) 돈이나 물건 따위를 거두어들임.
(2) 의견이나 사상 따위가 여럿으로 나뉘어 있는 것을 하나로 모아 정리함.
¶ 여론 수렴 / 의견 수렴에 들어가다.
(3) 방탕한 사람이 몸과 마음을 단속함.
(4) 오그라들게 함.
(5) 조세 따위를 거두어들임.
(6) {수학} 수열에서, 어떤 일정한 수의 임의의 근방에 유한 개를 제외한 나머지 모든 항이
모여 있는 현상.
(7) {수학} 함수 ƒ(x)가 있을 때, 어떤 일정한 수의 임의의 근방에 a의 근방에 있는 모든 x
의 함숫값이 모여 있는 현상."
0669,DAY 23,쟁점,쟁점,爭點,"다툴 쟁, 점 점",2003수능,명사,"(1) 서로 다투는 중심이 되는 점. ≒ 이슈(1).
¶ 최대의 쟁점 / 정치적 쟁점 / 주요 쟁점으로 떠오르다.
(2) {법률} 소송 당사자 사이에 쟁송(爭訟)의 중심이 되는 내용. ≒ 이슈(2)."
0670,DAY 23,위상,위상02,位相,"자리 위, 서로 상",2003수능,명사,"어떤 사물이 다른 사물과의 관계 속에서 가지는 위치나 상태.
¶ 위상을 높이다. / 위상이 추락하다. / 국제 사회에서 우리나라의 위상을 강화해
야 한다."
0671,DAY 23,암시,암시01,暗示,"어두울 암, 보일 시",2002수능,명사,"(1) 넌지시 알림. 또는 그 내용.
¶ 암시가 깔리다. / 암시를 받다. / 암시를 주다. / 나라의 운명을 이순신이 홀로
바다 위에서 일으켜 놓았을 때, 이순신의 친구는 비로소 이 꿈은 하늘이 준 암
시였던 것을 깨달았던 것이다. ≪박종화, 임진왜란≫
(2) {문학} 뜻하는 바를 간접적으로 나타내는 표현법. ≒ 암시법.
(3) {심리} 감각, 관념, 의도 따위가 이성에 호소함이 없이 언어 자극을 통하여 다른 사람에
게 전달되는 현상."
0672,DAY 23,잠재,잠재02,潛在,"잠길 잠, 있을 재",2002수능,명사,"겉으로 드러나지 않고 속에 잠겨 있거나 숨어 있음.
¶ 잠재 능력 / 인간의 잠재 가능성 / 인플레 요인의 잠재가 표면화되었다."
0673,DAY 23,투사,투사02,投射,"던질 투, 쏠 사",2002수능,명사,"(1) 창이나 포탄 따위를 내던지거나 쏨.
(2) {물리} 하나의 매질(媒質) 속을 지나가는 소리나 빛의 파동이 다른 매질의 경계면에 이
르는 일.
(3) {심리} 어떤 상황이나 자극에 대한 해석, 판단, 표현 따위에 심리 상태나 성격이 반영되
는 일. ≒ 투영
02(投影)(4)"
0674,DAY 23,자아,자아01,自我,"스스로 자, 나 아",2002수능,명사,"(1) {심리} 자기 자신에 대한 의식이나 관념. 정신 분석학에서는 이드(id), 초자아와 함께 성
격을 구성하는 한 요소로, 현실 원리에 따라 이드의 원초적 욕망과 초자아의 양
심을 조정한다.
¶ 자아가 강하다.
(2) {철학} 대상의 세계와 구별된 인식·행위의 주체이며, 체험 내용이 변화해도 동일성을 지
속하여, 작용·반응·체험·사고·의욕의 작용을 하는 의식의 통일체. ≒ 나
[Ⅱ](2)·셀프·에고(1)·자기
03[Ⅰ](2).
¶ 자아를 찾다."
0675,DAY 23,감지,감지05,感知,"느낄 감, 알 지",2002수능,명사,"느끼어 앎.
¶ 감지 능력 / 음성 감지가 가능한 컴퓨터."
0676,DAY 23,변주,변주02,變奏,"변할 변, 아뢸 주",2002수능,명사,"{음악} 어떤 주제를 바탕으로, 선율·리듬·화성 따위를 여러 가지로 변형하여 연주함. 또는
그런 연주."
0677,DAY 23,대동,대동02,大同,"클 대, 한가지 동",2002수능,명사,"(1) 큰 세력이 합동함.
¶ 우리는 대동 화합의 정신으로 반대파와도 협력한다.
(2) 온 세상이 번영하여 화평하게 됨.
¶ 대동 세상.
(3) 조금 차이는 있어도 대체로 같음."
0678,DAY 23,절충,절충01,折衷,"꺾을 절, 속마음 충",2002수능,명사,"(1) 서로 다른 사물이나 의견, 관점 따위를 알맞게 조절하여 서로 잘 어울리게 함. ≒ 절중
02(折中).
(2) {심리} 대립하는 둘 이상의 욕구를 하나의 행동으로써 불완전하나마 동시에 만족시키려
고 하는 방어 기제."
0679,DAY 23,진출,진출02,進出,"나아갈 진, 날 출",2002수능,명사,"(1) 어떤 방면으로 활동 범위나 세력을 넓혀 나아감.
¶ 정계 진출 / 여성의 사회 진출이 점점 늘어나고 있다. / 해외 시장 진출에 회사
의 사활이 걸려 있다.
(2) 앞으로 나아감.
¶ 일본군과 경군은 거기 유리한 지대에다 진을 치고 동학군의 진출을 기다렸다.
≪유주현, 대한 제국≫"
0680,DAY 23,생동,생동02,生動,"살 생, 움직일 동",2002수능,명사,"(1) 생기 있게 살아 움직임.
¶ 날이 풀리는 거리거리는 어딘지 모르게 생동의 빛이 감돌고 애들도 밖에 나와서
놀았다. ≪오유권, 대지의 학대≫
(2) 그림이나 글씨 따위가 살아 움직이는 듯이 힘이 있음."
0681,DAY 23,초월,초월02,超越,"뛰어넘을, 초, 넘을 월",2002수능,명사,"어떠한 한계나 표준을 뛰어넘음. ≒ 초일
03(超逸)·초절
03(超絕)(2).
¶ 생사 초월 / 다시는 순수한 초월의 행위의 순간도 없이 그는 자기가 속해 있는
곳으로 돌아가서 기대도 없이 오래오래 살 것이다.
≪전혜린, 그리고 아무 말도 하지 않았다≫"
0682,DAY 23,논거,논거,論據,"논할 론, 근거 거",2002수능,명사,"어떤 이론이나 논리, 논설 따위의 근거. ≒ 이거
04(理據).
¶ 명백한 논거를 제시하다."
0683,DAY 23,협연,협연,協演,"화합할 협, 펼 연",2002수능,명사,"{음악} 한 독주자가 다른 독주자나 악단 따위와 함께 한 악곡을 연주함. 또는 그런 연주.
¶ 그는 이번 국제 무대에서 외국의 유명한 바이올리니스트와 두 차례의 협연을 가
질 예정이다."
0684,DAY 23,영합,영합01,迎合,"맞을 영, 합할 합",2002수능,명사,"(1) 사사로운 이익을 위하여 아첨하며 좇음.
¶ 오가는 교류가 아니고, 일방적으로 한쪽에서 한쪽으로만 가는 영합이란 점에 문
제는 있다. ≪김소운, 일본의 두 얼굴≫
(2) 서로 뜻이 맞음."
0685,DAY 23,맥락,맥락,脈絡,"줄기 맥, 이을 락",2002수능,명사,"(1) {의학} 혈관이 서로 연락되어 있는 계통.
(2) 사물 따위가 서로 이어져 있는 관계나 연관. ≒ 맥01(脈)(2).
¶ 맥락이 닿다. / 그 문제는 문화적인 맥락에서 생각해야 한다. / 경찰은 최근에
일어난 일련의 사건을 같은 맥락으로 파악하고 있었다. / 그는 맥락도 통하지
않는 말을 주절주절 지껄였다."
0686,DAY 23,타성,타성02,惰性,"게으를 타, 성품 성",2002수능,명사,"(1) 오래되어 굳어진 좋지 않은 버릇.
(2) 오랫동안 변화나 새로움을 꾀하지 않아 나태하게 굳어진 습성.
¶ 타성에 빠지다. / 타성에 젖다. / 타성에서 벗어나다. / 타성이 붙다. / 타성이
생기다. / 난 분명히 달라졌어. 나는 내가 달라졌는데도 다만 타성으로 무엇을
하고 싶지는 않아. ≪선우휘, 사도행전≫"
0687,DAY 23,약화,약화01,弱化,"약할 약, 될 화",2002수능,명사,"세력이나 힘이 약해짐. 또는 그렇게 되게 함.
¶ 국력의 약화."
0688,DAY 23,안착,안착,安着,"편안 안, 붙을 착",2002수능,명사,"(1) 어떤 곳에 무사하게 잘 도착함.
¶ 그는 식구들에게 안착을 알리는 전화를 했다.
(2) 마음의 흔들림 없이 어떤 곳에 착실하게 자리 잡음.
¶ 만세 소동이 있을 때는 남 먼저 흥분하고 날뛰었지만 주변이 가라앉고 보니 그
도 또한 가라앉았고 생활의 안착을 고맙게 생각하는 것이다. ≪박경리, 토지≫"
0689,DAY 23,관점,관점02,觀點,"볼 관, 점 점",2002수능,명사,"사물이나 현상을 관찰할 때, 그 사람이 보고 생각하는 태도나 방향 또는 처지.
¶ 관점이 다르다. / 특이한 관점을 지니다. / 인간에 대한 개념 규정은 관점에 따
라 다양하다. / 작가는 그 대상을 어떤 관점으로 보았는가?"
0690,DAY 23,결단,결단01,決斷,"결단할 결, 끊을 단",2002수능,명사,"결정적인 판단을 하거나 단정을 내림. 또는 그런 판단이나 단정. ≒ 단
18(1) ·단결
02(斷決).
¶ 결단을 내리다. / 그 일은 대통령의 결단과 지시로 이루어졌다. / 그는 한번 결
단을 내린 일은 절대로 바꾸지 않는다."
